file_name,caption
train/Assassin_s Creed II/frame_0001.png,"a screenshot from a video game shows a man and woman standing in front of a white window the man has short brown hair and is wearing a gray and brown jacket, while the woman has"
train/Assassin_s Creed II/frame_0002.png,"a screenshot from a video game shows a woman with blond hair standing in front of a brick wall, with an open mouth and a brown eye visible a white microwave is also present in the"
train/Assassin_s Creed II/frame_0003.png,"a screenshot from a video game shows a woman with blond hair and an open mouth, standing in front of a brick wall her brown eye and nose are visible, as well as a white"
train/Assassin_s Creed II/frame_0004.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man has short brown hair and is wearing a gray shirt, while the woman has blond hair"
train/Assassin_s Creed II/frame_0006.png,"a screenshot from a video game shows a man and woman standing in front of a black wall the man has brown hair and is wearing a white shirt, while the woman has blond hair and"
train/Assassin_s Creed II/frame_0007.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man has short brown hair and a large nose, while the woman has blond hair and a"
train/Assassin_s Creed II/frame_0008.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man has short brown hair and a brown eye, while the woman has blond hair and a"
train/Assassin_s Creed II/frame_0009.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man has short brown hair and a brown eye, while the woman has blond hair and a"
train/Assassin_s Creed II/frame_0013.png,"a screenshot from a video game shows a group of people standing in front of a brick wall one man wears a brown and gray shirt and black headphones, while another stands next to him"
train/Assassin_s Creed II/frame_0014.png,"a screenshot from a video game shows a smiling man with brown hair and a large nose, standing in front of a brick wall with a red book on the left and a white shelf on"
train/Assassin_s Creed II/frame_0015.png,"a screenshot from a video game shows a man and woman standing in front of a large arched window the man wears a brown shirt, black glasses, and a black belt, while the woman"
train/Assassin_s Creed II/frame_0016.png,"a screenshot from a video game shows a smiling man with short brown hair, black glasses, and a large nose wearing a gray shirt with a white collar he is standing in front of a"
train/Assassin_s Creed II/frame_0017.png,"a screenshot from a video game shows a smiling man with short brown hair, black glasses, and a large nose wearing a white collar his open mouth and brown eye are visible, as well"
train/Assassin_s Creed II/frame_0018.png,"a screenshot from a video game shows a person wearing a brown shirt and black headphones standing in front of a brick wall they are holding a white book and a red book, and are"
train/Assassin_s Creed II/frame_0019.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man wears a brown shirt and has short brown hair, while the woman has black hair and"
train/Assassin_s Creed II/frame_0020.png,"a screenshot from a video game shows a smiling man with short brown hair, black glasses, and a large nose wearing a gray shirt with a white collar he is standing in front of a"
train/Assassin_s Creed II/frame_0021.png,"a screenshot from a video game shows a man and woman standing in front of a large arched window the man wears a brown shirt, black glasses, and a black belt, while the woman"
train/Assassin_s Creed II/frame_0022.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man wears a brown shirt and black belt, while the woman has red hair and wears a"
train/Assassin_s Creed II/frame_0023.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man wears a brown shirt and black belt, while the woman has red hair and wears a"
train/Assassin_s Creed II/frame_0024.png,"a screenshot from a video game shows a woman standing in front of a brick wall, wearing a brown shirt and a silver earring she has black hair and is standing next to a white"
train/Assassin_s Creed II/frame_0025.png,"a screenshot from a video game shows a person with short brown hair and a small ear, looking at something with an open mouth and a brown eye, while their hand is visible in the"
train/Assassin_s Creed II/frame_0026.png,"a screenshot from a video game shows a woman with black hair and a smiling face, holding a black book in her hand her brown eyes and large nose are visible, as well as a"
train/Assassin_s Creed II/frame_0027.png,"a screenshot from a video game shows a woman with black hair and a large nose holding a cell phone, with an open mouth and a brown eye visible a hand is also visible in the"
train/Assassin_s Creed II/frame_0028.png,"a screenshot from a video game shows a person with black hair and a large nose, standing in front of a brick wall with a white shelf in the background the person ' s face is"
